Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,8.910190407805186e-4,8.813987860519894e-4,9.086192535900574e-4,4.4017364524670325e-5,2.7545825405441802e-5,6.787223925525984e-5
Base/xmonad/13,1.93074579480201e-2,1.877573065366838e-2,2.0200786152458267e-2,1.402569479403434e-3,8.451476921397183e-4,1.9482683712888078e-3
Base/xmonad/26,4.257804046208634e-2,4.135963539418146e-2,4.7117760303797475e-2,3.910107847687386e-3,9.450732546641399e-4,6.937614828773084e-3
Base/xmonad/40,6.85737140679546e-2,6.725607664988219e-2,7.221439343831103e-2,3.4876287099424317e-3,1.1016362230105098e-3,5.9332750397954855e-3
Base/xmonad/53,8.880860797389831e-2,8.806466555996546e-2,8.959428228510487e-2,1.3620868004382805e-3,9.80336939228558e-4,1.7997607922430885e-3
Base/xmonad/66,0.1106193827063119,0.1088690788901052,0.1160032436668917,4.183591226681695e-3,1.6241541705219933e-3,6.538167546206898e-3
Base/xmonad/79,0.14271421544897772,0.1385978026380509,0.1478303620506824,6.59902071748349e-3,4.775823293648148e-3,8.311337984295359e-3
Base/xmonad/93,0.164753545006276,0.16289597464183192,0.1674560606840869,3.33016017763825e-3,2.136301102444658e-3,4.6143595241062265e-3
Base/xmonad/106,0.190700154595571,0.18568637251201936,0.19430397697386878,5.938772062245707e-3,3.6538545099836068e-3,8.36560622880439e-3
Base/xmonad/119,0.21995188997508294,0.21634703976645445,0.22223001547863533,3.913126980539576e-3,1.8083249355106152e-3,6.03066469238886e-3
ParMerge1/xmonad/1,8.911774160926598e-4,8.792337490967562e-4,9.085615522737918e-4,5.331649710139523e-5,3.703563486376227e-5,7.238315599861667e-5
ParMerge1/xmonad/13,5.6821969396411015e-2,5.503979053948266e-2,5.8624032373869796e-2,3.1450641211464635e-3,2.5019846646649967e-3,3.892487008130159e-3
ParMerge1/xmonad/26,0.1348291616078346,0.13305056085983627,0.13673808608591895,2.785409503381264e-3,1.6979066790434717e-3,3.937347219565772e-3
ParMerge1/xmonad/40,0.24891599953084853,0.2464727827005845,0.25206414816115286,3.496100500473793e-3,1.9305352419238713e-3,4.82494697144338e-3
ParMerge1/xmonad/53,0.3011934056107323,0.29712475146108774,0.30435652706054195,4.346733765167576e-3,2.1326476571325668e-3,6.217811514095683e-3
ParMerge1/xmonad/66,0.4555513330624308,0.4498851920616289,0.46496337656299147,9.478632162583437e-3,3.840477002086118e-3,1.3085392128317346e-2
ParMerge1/xmonad/79,0.5149770812486167,0.505834116745973,0.5205517467502432,9.251908548432808e-3,4.218294793733427e-3,1.2874138512024584e-2
ParMerge1/xmonad/93,0.5829131939995023,0.5784528733743173,0.5942111530021066,7.687510742473342e-3,7.535162910688809e-4,9.663184203371212e-3
ParMerge1/xmonad/106,0.6462687047930255,0.640162104167454,0.6534316773759201,7.449217272757833e-3,3.391213948981713e-3,1.0380683650431502e-2
ParMerge1/xmonad/119,0.7149453988530089,0.6922216356664043,0.7237702989355057,1.6348312042128294e-2,6.729786227879231e-4,2.0380233752804403e-2
ParMerge2/xmonad/1,9.208336094835191e-4,8.992606224649089e-4,9.503822179618702e-4,7.758977630374827e-5,5.7844348171214574e-5,9.779352297015032e-5
ParMerge2/xmonad/13,8.282516775647743e-2,8.104830048281916e-2,8.491397229710682e-2,3.1472122641088536e-3,2.4551678485430035e-3,4.405739793440158e-3
ParMerge2/xmonad/26,0.2966854211078074,0.2937823585130051,0.2997158597693973,3.8232454301781096e-3,2.136935340080547e-3,5.2180667052616194e-3
ParMerge2/xmonad/40,0.730284082250364,0.7202519811244201,0.737982825875406,1.0755685414874648e-2,3.0348725807148973e-3,1.3101508861559944e-2
ParMerge2/xmonad/53,1.2377286159185132,1.2242721716283995,1.2595420867914981,2.061345180561211e-2,5.853428581758635e-3,2.6058683323703345e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,3.039188445236031e-4,2.996473851106457e-4,3.1043763157123427e-4,1.899380431503522e-5,1.2721267422878386e-5,2.554215640571239e-5
Base/xmonad/13,1.4263683446041201e-2,1.40709529958791e-2,1.4555565427840766e-2,6.139017911185314e-4,4.090232749725164e-4,9.621744721597368e-4
Base/xmonad/26,3.310082686760431e-2,3.287488227007611e-2,3.343824209925699e-2,4.99770702458292e-4,3.722234252196416e-4,6.677317966176056e-4
Base/xmonad/40,5.331700221932463e-2,5.2900980612170447e-2,5.372061668017473e-2,7.719265706151806e-4,5.085044634460029e-4,1.015189118473095e-3
Base/xmonad/53,7.087083028235835e-2,7.047946162647124e-2,7.188539854043594e-2,1.088882856897037e-3,4.745980155693839e-4,1.859927220512564e-3
Base/xmonad/66,9.466421116281049e-2,9.246922022908328e-2,9.757254552629924e-2,4.1561432042015005e-3,2.0614807915254434e-3,6.423245797080611e-3
Base/xmonad/79,0.11337956919692802,0.11143729495036798,0.11783021779888259,4.09099723238443e-3,1.8431045979439885e-3,6.0844229297561695e-3
Base/xmonad/93,0.13585571974837357,0.13246464250976586,0.14186914243737192,7.582624127792866e-3,4.12839286419643e-3,1.0705874960188941e-2
Base/xmonad/106,0.15441354970308832,0.1502373183221997,0.15708449267837507,4.684833706739496e-3,3.52619285010028e-3,5.8062175144140095e-3
Base/xmonad/119,0.18701083538809246,0.18428267555589425,0.19433796097150158,5.908944997685765e-3,8.391218394631448e-4,8.521508877718336e-3
ParMerge1/xmonad/1,3.012299277047955e-4,2.964052150113934e-4,3.075130124951423e-4,1.9790815248189793e-5,1.5252692768979593e-5,2.4195731153377136e-5
ParMerge1/xmonad/13,3.2073327085290995e-2,3.1602017180243504e-2,3.254458980552165e-2,1.0334673256932464e-3,7.975894379716325e-4,1.3550197453712396e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.966297314904081e-4,2.921209162033484e-4,3.0585539545829784e-4,1.9205869322489337e-5,1.246996031060889e-5,2.9037220613397894e-5
ParMerge2/xmonad/13,5.354379245052464e-2,5.2972427991600464e-2,5.4088251004285444e-2,1.0372309742746012e-3,7.956834004082889e-4,1.4633308242425116e-3
ParMerge2/xmonad/26,0.2004647715170601,0.1980487306337333,0.20288670158445002,3.325289940566912e-3,2.7206229268590975e-3,4.2689338298811256e-3
ParMerge2/xmonad/40,0.5611543010815391,0.557545321874386,0.5656683466222603,4.6093123641849235e-3,1.7247133315929086e-3,6.343053054458306e-3
ParMerge2/xmonad/53,0.9595226331040673,0.9497025404167895,0.9647643965830259,9.631667425922068e-3,1.604587920762124e-4,1.229061607601868e-2
ParMerge2/xmonad/66,1.5212293076665446,1.4943493623741233,1.554285857625473,3.329446282886298e-2,1.4137101068288235e-2,4.613913555686597e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,3.0467824378130055e-4,3.0119265479860535e-4,3.1078782568076283e-4,1.5731560264240663e-5,1.072410885436553e-5,2.0596478845898277e-5
ParMerge2/xmonad/13,3.512740010136455e-3,3.4917933125627235e-3,3.533004914945309e-3,6.906671200838242e-5,5.4703224125456354e-5,9.964265845094887e-5
ParMerge2/xmonad/26,6.862097945689022e-3,6.810595461879746e-3,6.917150297016074e-3,1.5608314188637063e-4,1.300698942131057e-4,1.978841683670285e-4
ParMerge2/xmonad/40,1.0609318729557863e-2,1.0497324958897445e-2,1.078202452272099e-2,3.819840074608718e-4,2.755923947173609e-4,5.45026858786837e-4
ParMerge2/xmonad/53,1.441465805404536e-2,1.429680592684363e-2,1.4560734688266776e-2,3.643022983026759e-4,2.6638071142261714e-4,4.7504388878699964e-4
ParMerge2/xmonad/66,1.8122068051936776e-2,1.7990370562842598e-2,1.8300277858363738e-2,3.965142342682388e-4,2.5819123692385034e-4,6.437695564892021e-4
ParMerge2/xmonad/79,2.1585938322275507e-2,2.140798783036081e-2,2.1813097034290605e-2,4.621150652681495e-4,3.4003401181285697e-4,6.368887397952849e-4
ParMerge2/xmonad/93,2.5990247201281166e-2,2.554131448366096e-2,2.673876907461914e-2,1.2830479459091464e-3,7.699542611623625e-4,1.6969611788955159e-3
ParMerge2/xmonad/106,2.9764984439050585e-2,2.9397882636414265e-2,3.033157597014824e-2,9.974850551977906e-4,7.221407905069751e-4,1.4693517076966064e-3
ParMerge2/xmonad/119,3.435611253747546e-2,3.3639382871119186e-2,3.51324278953731e-2,1.584027415488518e-3,1.2101803357129413e-3,2.0775273297348683e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,3.1010526731497856e-4,3.0560285837640005e-4,3.179638950407456e-4,1.9123826607029424e-5,1.3536951726943037e-5,2.4716668625507762e-5
ParMerge2/xmonad/13,5.444744200256617e-2,5.3524427418633294e-2,5.59843968376932e-2,2.292948474465997e-3,1.4767997403731623e-3,3.5194432598239555e-3
ParMerge2/xmonad/26,0.20592978075263899,0.20209008565284925,0.2096654124664686,5.06339465635374e-3,3.4834428969114204e-3,7.0589965295472816e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.916335453392004e-4,2.8763619168423085e-4,2.9816657448559727e-4,1.8136485123407537e-5,1.2114186157341911e-5,2.5237580836388625e-5
ParMerge2/xmonad/13,4.6607195858774965e-2,4.559890360333623e-2,4.751689959365892e-2,1.887556622569266e-3,1.5170909213626197e-3,2.4287395198865553e-3
ParMerge2/xmonad/26,0.16928062877316047,0.16515822426752455,0.17138315838123422,4.078488761728213e-3,1.8996335651505587e-3,6.5340701055029435e-3
ParMerge2/xmonad/40,0.47111361091659393,0.46543037512492447,0.476404077083013,6.167384120333971e-3,5.051330724096132e-3,6.953929958561661e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,3.065737136192923e-4,3.0095631839305645e-4,3.142259353163816e-4,2.2856291748675985e-5,1.95604732708345e-5,2.629256978760619e-5
ParMerge2/xmonad/13,4.7564415571106196e-2,4.625494146624402e-2,4.8766885771867725e-2,2.6002064458318023e-3,2.160180930000704e-3,3.265859016894734e-3
ParMerge2/xmonad/26,0.1758943884886581,0.17388965484289137,0.17954897563019284,3.7326770632405692e-3,2.1283353656549983e-3,5.40737305724926e-3
ParMerge2/xmonad/40,0.4728616456679144,0.46155555812629245,0.4786136730428249,1.0880863088996539e-2,4.5718568377801395e-4,1.3283738213162788e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.964410505060578e-4,2.918332389634272e-4,3.061357470119454e-4,2.0780379302943574e-5,1.4119439432782146e-5,3.230250962838144e-5
ParMerge2/xmonad/13,3.295501385460773e-2,3.262123030665247e-2,3.3373357474639584e-2,8.277583367571337e-4,6.133075615042791e-4,1.088175094941627e-3
ParMerge2/xmonad/26,0.13705112478904063,0.13341260224429638,0.1395405333514916,4.878088899935915e-3,3.2583208682075942e-3,7.558918678149399e-3
ParMerge2/xmonad/40,0.37307524158207644,0.35725552199437516,0.3788414984170837,1.0715900597033378e-2,3.943002110300617e-4,1.3710899954661928e-2
ParMerge2/xmonad/53,0.6514237514990479,0.631139281500206,0.6653776792472854,2.2183802510761165e-2,1.3007480999779828e-2,3.1363312645664866e-2
ParMerge2/xmonad/66,1.0413654024362888,1.0082402885627744,1.0603480228722522,3.3784716566212e-2,1.3747754479980914e-2,4.383848407451167e-2
ParMerge2/xmonad/79,1.4691198606888065,1.4531544865021715,1.4832895157505845,1.951122999727146e-2,1.2066864004707049e-2,2.4147196960678526e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,3.1087295703892436e-4,3.039021149850767e-4,3.201813178586242e-4,2.973029704801808e-5,2.311261442686015e-5,3.9866229956348235e-5
ParMerge2/xmonad/13,1.6389457801730317e-2,1.6268026263753e-2,1.6681633283997375e-2,4.688358269895877e-4,2.61829583511828e-4,8.06197490702574e-4
ParMerge2/xmonad/26,4.133804637839516e-2,4.084711764822054e-2,4.1751061234348096e-2,9.000747069016835e-4,6.760182826328073e-4,1.2328231921309087e-3
ParMerge2/xmonad/40,6.878477465138712e-2,6.783169017308506e-2,7.006185682904098e-2,2.057458099254479e-3,1.3435212527289477e-3,2.7054154716607986e-3
ParMerge2/xmonad/53,9.26990199240659e-2,9.124613362413779e-2,9.430359989685373e-2,2.6005634565774653e-3,1.8746293205733756e-3,3.5615040346482414e-3
ParMerge2/xmonad/66,0.12546256016190843,0.12406288702021205,0.12796806924980045,2.7551637395354348e-3,1.0698415165932532e-3,3.7871764461852747e-3
ParMerge2/xmonad/79,0.16397918109396167,0.16187873019573126,0.16681918472912957,3.7133549127434176e-3,2.266744533005411e-3,5.606790209994879e-3
ParMerge2/xmonad/93,0.19404588303261536,0.18801945130427258,0.19878846846075046,6.878761615586336e-3,3.7897848216681337e-3,1.0156686369791921e-2
ParMerge2/xmonad/106,0.21340868282263223,0.20545156955641788,0.21768044938916217,7.84867551463567e-3,3.06009056752762e-3,1.1501381234128945e-2
ParMerge2/xmonad/119,0.2362473608475638,0.23388758666927364,0.23877473651340955,3.174250496307376e-3,2.0965088913840746e-3,4.306874700276824e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.995608778811515e-4,2.9433426538102655e-4,3.06737352709837e-4,2.0927677395246776e-5,1.3922137139587267e-5,2.7745342477968178e-5
ParMerge2/xmonad/13,1.6281257478053427e-2,1.6170204473318885e-2,1.6416996901779973e-2,3.100715230638665e-4,2.3291136627936673e-4,4.1554696570731043e-4
ParMerge2/xmonad/26,3.9269838892317936e-2,3.869381281292042e-2,3.9947399932075564e-2,1.3084357776941868e-3,9.07025882169955e-4,2.030068619731519e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,3.010347501177907e-4,2.959749111183994e-4,3.069763804883242e-4,1.7324104314215972e-5,1.364095905154342e-5,2.2817062217203857e-5
ParMerge2/xmonad/13,1.6788627348832765e-2,1.6548730620657162e-2,1.7084727790142334e-2,6.485293072982832e-4,5.167861020866228e-4,8.642620324184527e-4
ParMerge2/xmonad/26,4.1998084799591266e-2,4.103969748969249e-2,4.2975436788976286e-2,1.9332140197532042e-3,1.504041225025434e-3,2.417560355251099e-3
ParMerge2/xmonad/40,6.766637527698653e-2,6.623375752546706e-2,7.030368309347507e-2,3.394063089914067e-3,1.5792021221518507e-3,5.43577971727297e-3
ParMerge2/xmonad/53,8.96941183486735e-2,8.81417000181347e-2,9.162977271214509e-2,2.9177375116201105e-3,1.6546354057988845e-3,4.479389359161959e-3
ParMerge2/xmonad/66,0.12213253157948592,0.11813029200839083,0.1296628229337005,7.937988268429189e-3,4.034760226501938e-3,1.1772404105866198e-2
ParMerge2/xmonad/79,0.1460167168682291,0.1436296269751382,0.147937297943281,3.0954109619219976e-3,2.440755639752639e-3,4.23555473298132e-3
ParMerge2/xmonad/93,0.17358445009558388,0.17228606348788186,0.1755270841777452,2.2596704639654495e-3,1.567695254993507e-3,3.1024091774546616e-3
ParMerge2/xmonad/106,0.20483198759201413,0.20203551925603988,0.20828761762509707,4.093632210569214e-3,2.575775193823524e-3,5.86870344485292e-3
ParMerge2/xmonad/119,0.23777948868602025,0.23485022865325947,0.24170450876297564,4.822824910062151e-3,3.330878938505853e-3,6.352492365980537e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ParMerge2/xmonad/1,2.963341554187654e-4,2.927748194941944e-4,3.0180063589235073e-4,1.567568305315037e-5,1.13432405819414e-5,2.1823598346050747e-5
ParMerge2/xmonad/13,1.6423267121137116e-2,1.6359133776974465e-2,1.6485379659317224e-2,1.582787319787694e-4,1.209107218071571e-4,2.043445740984181e-4
ParMerge2/xmonad/26,3.972031086602104e-2,3.9335713671456454e-2,4.0061691111042026e-2,7.960125914134252e-4,6.242755601772672e-4,1.0738557126006038e-3
ParMerge2/xmonad/40,6.645904304878583e-2,6.567253690000051e-2,6.736784035053407e-2,1.5145114090006756e-3,1.1412210317309865e-3,2.147720658924057e-3
ParMerge2/xmonad/53,8.951452316237082e-2,8.840951501863727e-2,9.071284507394993e-2,2.044048490978094e-3,1.4013696312006852e-3,2.7295879402650866e-3
ParMerge2/xmonad/66,0.11852527857242226,0.11730060601666992,0.12009831787150103,2.275110274807972e-3,1.8389097951440026e-3,2.8351309689673087e-3
ParMerge2/xmonad/79,0.1418295211280058,0.14007806766659042,0.1440270549650969,2.8213399971976473e-3,1.6637173639918346e-3,3.8060117620220386e-3
ParMerge2/xmonad/93,0.17689793187497949,0.1739952091802479,0.18223087947250557,5.3972898628962766e-3,1.513894474571233e-3,7.771153708107288e-3
ParMerge2/xmonad/106,0.2089194243299668,0.20322682975497122,0.2189359213744966,9.892787508149172e-3,4.309461409756068e-3,1.4195734939359664e-2
ParMerge2/xmonad/119,0.24167197080532787,0.24072931673727,0.24324683616578113,1.6209570606371935e-3,4.4246306404424987e-4,2.1738449938164374e-3
