Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,2.9448246932117794e-4,2.926956572907166e-4,2.968082163530157e-4,7.210634064326125e-6,5.396991538133562e-6,1.056006242190917e-5
Base/xmonad/13,1.4658082122061407e-2,1.4452714992468547e-2,1.4923587994873559e-2,5.834665810505014e-4,4.198649604500745e-4,7.996517598638501e-4
Base/xmonad/26,3.290799209598694e-2,3.237662513363523e-2,3.417653966411389e-2,1.5727062633549178e-3,9.688076432412823e-4,2.417823331291689e-3
Base/xmonad/40,5.5782970676397446e-2,5.4752024295290046e-2,5.720913650457945e-2,2.35935542926231e-3,1.7458638598384442e-3,3.145221159907794e-3
Base/xmonad/53,7.063957797184389e-2,6.931157997890783e-2,7.284139497261787e-2,3.0393384655034964e-3,1.7797124524138407e-3,4.669908212867516e-3
Base/xmonad/66,9.882121845817264e-2,9.388460445530027e-2,0.1046337448323929,8.301550741327105e-3,6.443596072048969e-3,1.0979834821411804e-2
Base/xmonad/79,0.11178651247801533,0.1099960723633038,0.11380207357139754,2.957162466790828e-3,1.562821909409296e-3,4.401752092712971e-3
Base/xmonad/93,0.13411230812479777,0.13147258173189585,0.13729601560465718,4.691607359022723e-3,3.136461235649457e-3,6.411221731955619e-3
Base/xmonad/106,0.15518932096444532,0.15243990976988261,0.15805719657371461,3.9734618192706185e-3,3.0835354021079807e-3,5.193600221464592e-3
Base/xmonad/119,0.17911255842955143,0.17597659266539267,0.1860321876657609,6.158448891137671e-3,6.464057520961623e-4,8.535534008535253e-3
ParMerge1/xmonad/1,3.059000324898143e-4,3.0473439921479927e-4,3.095379366739255e-4,6.239205434364671e-6,3.2687681703289134e-6,1.1184589850671958e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,3.019276275628076e-4,3.004974957930365e-4,3.0474866857436967e-4,6.881801727612916e-6,4.869060160552467e-6,9.888667867634842e-6
Base/xmonad/13,1.491207861807862e-2,1.4715393389064956e-2,1.5278366428031917e-2,6.244901427121479e-4,3.883517726692438e-4,8.66351341092868e-4
Base/xmonad/26,3.2298916451058875e-2,3.2101332569219584e-2,3.257645705398344e-2,4.8761191743004035e-4,3.1350518970569316e-4,7.114072051743839e-4
Base/xmonad/40,5.26017459922237e-2,5.181546685476445e-2,5.364492243071888e-2,1.777418564859231e-3,1.2360312112774292e-3,2.6147094461369098e-3
Base/xmonad/53,7.343736570913371e-2,7.241580013400967e-2,7.63487980142795e-2,2.6719162568937214e-3,8.00167755898187e-4,4.516958908304296e-3
Base/xmonad/66,9.01880059478358e-2,8.935200845033944e-2,9.13206353876578e-2,1.5261855764980327e-3,9.194382490018514e-4,2.3057598397912583e-3
Base/xmonad/79,0.110887597140856,0.10951205444628916,0.11270728012113111,2.596159886641846e-3,2.1430551651547506e-3,3.4067794223533706e-3
Base/xmonad/93,0.14134431390758392,0.13383132212175908,0.1602856624561961,1.763212864631124e-2,3.6649404969090263e-3,2.7416942407995748e-2
Base/xmonad/106,0.16290915740962633,0.15858769032071787,0.17320271453943512,9.803330924742325e-3,3.0769890724037163e-3,1.4064332970218392e-2
Base/xmonad/119,0.18269631058497504,0.18071159891050126,0.18507449788897548,3.148873825712499e-3,1.8675273777870832e-3,4.323080529609904e-3
ParMerge1/xmonad/1,3.1122604174900676e-4,3.0516199649374145e-4,3.226154492688284e-4,2.6426269312408987e-5,2.0091510636726894e-5,3.7135022700310174e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Base/xmonad/1,3.161189791526059e-4,3.093060542075461e-4,3.266047331679306e-4,2.9334921272127298e-5,2.108497947370485e-5,4.856721750180214e-5
Base/xmonad/13,1.4806946041712982e-2,1.4507954292833072e-2,1.5213237672996783e-2,8.751751547898089e-4,6.372640496431146e-4,1.19750200435341e-3
Base/xmonad/26,3.396700311547429e-2,3.356211215484649e-2,3.457752003525659e-2,1.079818483928947e-3,6.577942930980343e-4,1.5315736711877432e-3
Base/xmonad/40,5.42354739286646e-2,5.298604967263402e-2,5.6411776816711494e-2,3.1151616050132808e-3,2.322626178431142e-3,4.276407912096028e-3
Base/xmonad/53,6.851266558552366e-2,6.791878970664687e-2,6.929835389548412e-2,1.153645857534446e-3,6.958765556077843e-4,1.8103448139204935e-3
Base/xmonad/66,9.0779572528892e-2,8.990873262681347e-2,9.380289488763083e-2,2.2395268141505945e-3,4.989530770338826e-4,3.7251387724882264e-3
Base/xmonad/79,0.11012671802366125,0.10936646650952753,0.11091516698693027,1.2550821750799887e-3,9.623788554254316e-4,1.6893124675489203e-3
Base/xmonad/93,0.13009703488127386,0.12832882149579444,0.13185483600411446,2.6381271486500732e-3,1.891734677381331e-3,3.6716096254695873e-3
Base/xmonad/106,0.15922188074460158,0.1560085056411654,0.16743846754668215,7.243200067120502e-3,1.3714631607621396e-3,1.084508251962144e-2
Base/xmonad/119,0.1838133180353907,0.17832271949616066,0.1925911675534735,9.65196830428769e-3,4.349668277506035e-3,1.4476354925355138e-2
ParMerge1/xmonad/1,3.2286997770677924e-4,3.1540699405754587e-4,3.349423201068232e-4,3.266593812257275e-5,2.6149352383411188e-5,4.261160634193812e-5
ParMerge1/xmonad/13,3.86869285612831e-2,3.769585845753346e-2,4.042558254146092e-2,2.6078382820675533e-3,1.5186149492323517e-3,3.86121191423326e-3
ParMerge1/xmonad/26,9.322341962982617e-2,9.204403355230055e-2,9.49420953841548e-2,2.3467365199155528e-3,1.6563041240768097e-3,3.3730784905232247e-3
ParMerge1/xmonad/40,0.1708082357150525,0.16905644678135148,0.17336208450037854,3.254871861584043e-3,1.4032493539144419e-3,5.009531923202701e-3
ParMerge1/xmonad/53,0.20236988418000693,0.1999024300275778,0.20658001616732993,4.761779287596961e-3,4.5466013370883303e-4,7.088511072353743e-3
ParMerge1/xmonad/66,0.32284477886986374,0.31942873064021116,0.32910218379984146,6.405581603551141e-3,8.655430938132808e-4,8.919884989330292e-3
ParMerge1/xmonad/79,0.36082971918676776,0.3553273909392374,0.3658969937459915,6.2385028755668065e-3,3.0472057862563563e-3,8.655163537045903e-3
ParMerge1/xmonad/93,0.3914136944801309,0.3816589121048916,0.3976027839131954,9.329402579524278e-3,3.0218491689689986e-3,1.2273598240598788e-2
ParMerge1/xmonad/106,0.4233695613747841,0.415160594999179,0.4302697370003443,8.359931647689993e-3,5.970159250864526e-3,9.566372088476357e-3
ParMerge1/xmonad/119,0.48726305885399296,0.473734235415274,0.4959852998745191,1.3391976369664427e-2,5.593807456633274e-3,1.847653868646013e-2
ParMerge2/xmonad/1,2.979249585940887e-4,2.9122385280947946e-4,3.0747247289317025e-4,2.648252230641474e-5,2.1035961952373586e-5,3.235491618338896e-5
ParMerge2/xmonad/13,6.0417167037707664e-2,5.9539850529917095e-2,6.173170533281033e-2,2.1623136356860497e-3,1.315614832184706e-3,3.060982129877997e-3
ParMerge2/xmonad/26,0.18326406924283623,0.17705257233562102,0.1962754480838258,1.1254807771977657e-2,2.2329763760075352e-3,1.6963220145405772e-2
ParMerge2/xmonad/40,0.45083771606247564,0.43799734687612124,0.4627418453728751,1.4926244713450663e-2,1.3130424780734241e-2,1.6465480761786753e-2
ParMerge2/xmonad/53,0.723347143539892,0.7082409798288911,0.7466941426264384,2.2121430740150154e-2,2.449226839720098e-3,2.8372854189993798e-2
ParMerge2/xmonad/66,1.075792290190596,1.0451927700063,1.1045695453776716,3.4133992188517204e-2,2.602099866586866e-2,4.0437225449317646e-2
ParMerge2/xmonad/79,1.5522488181037868,1.5381213549990207,1.5632653114989807,1.676662348700554e-2,1.4150201096587673e-2,1.935582673832552e-2
ParMerge2/xmonad/93,2.222349568121293,2.152568021873776,2.3392565837396737,0.11660028339220976,6.007667589290194e-3,0.14571547779363003
ParMerge2/xmonad/106,2.785484784186641,2.738289228747211,2.8150776018756005,4.693842913997031e-2,1.8992542382625082e-2,6.472624894293809e-2
ParMerge2/xmonad/119,3.43703494589469,3.4116658069369805,3.454018330166339,2.567888793241628e-2,1.1443501164952297e-2,3.5900666890742124e-2
