Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SeqList/xmonad/1,2.0748504768001172e-4,2.0368621298461772e-4,2.2117223200106208e-4,2.0094840015857218e-5,2.19697189180716e-6,4.382661485495235e-5
SeqList/xmonad/13,6.908927374674608e-3,6.898251578515345e-3,6.927460102892961e-3,3.894113850546504e-5,2.783843393955621e-5,5.840636474838294e-5
SeqList/xmonad/26,2.1459234452666655e-2,2.1391768764146307e-2,2.152024254896718e-2,1.4701996544240467e-4,1.3126286261413262e-4,1.6611570625443996e-4
SeqList/xmonad/40,4.286597859094534e-2,4.236704125411389e-2,4.4816903578671526e-2,1.8207895961404948e-3,6.95765137886605e-5,3.3882273085660067e-3
SeqList/xmonad/53,6.331025389233501e-2,6.185228884371704e-2,6.470193779216118e-2,2.764660800769456e-3,1.6768854527719939e-3,3.004342893678829e-3
SeqList/xmonad/66,8.254689531925594e-2,8.144294968192717e-2,8.633163866845683e-2,3.0839851702897086e-3,1.0481025819875957e-4,5.0877684607102975e-3
SeqList/xmonad/79,0.11805536034253669,0.1150588437476905,0.12091307422087993,4.609584431143613e-3,3.4258611653066088e-3,5.061417852755524e-3
SeqList/xmonad/93,0.1450237336470334,0.14276395713733067,0.15384754418794597,5.641027763752845e-3,1.8285576189841848e-4,8.158043832974535e-3
SeqList/xmonad/106,0.180908868737126,0.1731931092439308,0.18702849662596627,1.0204527837820946e-2,5.9933037805029316e-3,1.1596953761643297e-2
SeqList/xmonad/119,0.19333811189410174,0.1925481089959956,0.19556917764970824,1.8153159117700126e-3,1.0414836048269326e-4,2.5057025730171895e-3
SeqList/primitive/1,4.987416437150507e-4,4.641541975830973e-4,5.321419848921748e-4,1.1994703026339324e-4,1.0709492474400544e-4,1.2546000979393425e-4
SeqList/primitive/10,1.1158985182441699e-2,1.1077720104550772e-2,1.1534464242793703e-2,3.709861605455132e-4,8.087592361594387e-5,7.806971312722339e-4
SeqList/primitive/19,3.33953171555625e-2,3.213410128925759e-2,3.453684780665185e-2,2.7767871030254013e-3,2.423396503272829e-3,3.241796705991424e-3
SeqList/primitive/29,6.268612035196731e-2,6.241624555001196e-2,6.337464626154138e-2,7.570539069817108e-4,1.7355245698169022e-4,1.281978913139985e-3
SeqList/primitive/38,9.055861812391659e-2,8.822599974682643e-2,9.265875463240913e-2,3.8844307425667077e-3,3.244656444176107e-3,4.256554603215552e-3
SeqList/primitive/48,0.11671813658737977,0.11608427491571222,0.11849246141500772,1.6514393893508714e-3,1.9811813109373347e-4,2.572547970516802e-3
SeqList/primitive/57,0.1548611241332604,0.15085511275212324,0.15920289018235745,5.864627435587725e-3,4.655441605278549e-3,6.4165020696725136e-3
SeqList/primitive/67,0.17052986650715019,0.1686940131531585,0.17520546654499053,4.0638901565685556e-3,3.010655135596359e-4,5.955280788252293e-3
SeqList/primitive/76,0.23031436312529777,0.2290432769805193,0.23225841230402391,2.028095167136678e-3,1.5042882899458526e-3,2.298066053340657e-3
SeqList/primitive/86,0.2621828838282575,0.25089494173104565,0.27613191329253217,1.6064939819974238e-2,1.206931467327935e-2,1.948889393007257e-2
